Iteration, Throughput, GoSAgg, GoSSep
448, 83800, 838, 838
449, 83800, 838, 838
450, 83600, 836, 836
451, 83600, 836, 836
452, 83700, 837, 837
453, 83700, 837, 837
454, 83700, 837, 837
455, 83700, 837, 837
456, 83700, 837, 837
457, 83700, 837, 837
458, 83800, 838, 838
459, 83700, 837, 837
460, 83800, 838, 838
461, 83800, 838, 838
462, 83800, 838, 838
463, 83800, 838, 838
464, 83800, 838, 838
465, 83800, 838, 838
466, 83800, 838, 838
467, 83800, 838, 838
468, 83800, 838, 838
469, 83800, 838, 838
470, 83800, 838, 838
471, 83800, 838, 838
472, 83800, 838, 838
473, 83800, 838, 838
474, 83700, 837, 837
475, 83700, 837, 837
476, 83700, 837, 837
477, 83700, 837, 837
478, 83700, 837, 837
479, 83700, 837, 837
480, 83700, 837, 837
481, 83700, 837, 837
482, 83700, 837, 837
483, 83700, 837, 837
484, 83700, 837, 837
485, 83700, 837, 837
486, 83700, 837, 837
487, 83700, 837, 837
488, 83700, 837, 837
489, 83700, 837, 837
490, 83800, 838, 838
491, 83800, 838, 838
492, 83800, 838, 838
493, 83800, 838, 838
494, 83800, 838, 838
495, 83700, 837, 837
496, 83700, 837, 837
497, 83700, 837, 837
498, 83700, 837, 837
499, 83700, 837, 837
500, 83700, 837, 837
501, 83700, 837, 837
502, 83700, 837, 837
503, 83700, 837, 837
504, 83700, 837, 837
505, 83700, 837, 837
506, 83700, 837, 837
507, 83700, 837, 837
508, 83700, 837, 837
509, 83700, 837, 837
510, 83700, 837, 837
511, 83700, 837, 837
512, 83700, 837, 837
513, 83700, 837, 837
514, 83700, 837, 837
515, 83700, 837, 837
516, 83700, 837, 837
517, 83700, 837, 837
518, 83700, 837, 837
519, 83700, 837, 837
520, 83700, 837, 837
521, 83600, 836, 836
522, 83600, 836, 836
523, 83600, 836, 836
524, 83600, 836, 836
525, 83600, 836, 836
526, 83600, 836, 836
527, 83600, 836, 836
528, 83600, 836, 836
529, 83600, 836, 836
530, 83600, 836, 836
531, 83600, 836, 836
532, 83600, 836, 836
533, 83600, 836, 836
534, 83600, 836, 836
535, 83600, 836, 836
536, 83600, 836, 836
537, 83600, 836, 836
538, 83600, 836, 836
539, 83600, 836, 836
540, 83600, 836, 836
541, 83600, 836, 836
542, 83600, 836, 836
543, 83600, 836, 836
544, 83600, 836, 836
545, 83600, 836, 836
546, 83600, 836, 836
547, 83600, 836, 836
548, 83600, 836, 836
549, 83600, 836, 836
550, 83600, 836, 836
551, 83600, 836, 836
552, 83600, 836, 836
553, 83600, 836, 836
554, 83600, 836, 836
555, 83600, 836, 836
556, 83600, 836, 836
557, 83600, 836, 836
558, 83600, 836, 836
559, 83600, 836, 836
560, 83600, 836, 836
561, 83600, 836, 836
562, 83600, 836, 836
563, 83600, 836, 836
564, 83600, 836, 836
565, 83600, 836, 836
566, 83600, 836, 836
567, 83600, 836, 836
568, 83600, 836, 836
569, 83600, 836, 836
570, 83600, 836, 836
571, 83600, 836, 836
